吉永坂,発, 44950,, 50950,,, 52950,,,,,, 54250,, 55650,,, ﾚ, 60650,,, ﾚ, ﾚ, 61650,,, ﾚ, 62650,,, ﾚ, 63450,,, ﾚ, ﾚ, 64450,,,, ﾚ, 65450,,,, ﾚ, 70250,,,, ﾚ, 71050,,,, ﾚ, 71850,,,, ﾚ, 72650,,,, ﾚ, 73450,,,, ﾚ, 74250,,,, ﾚ, 75050,,,, ﾚ, 75850,,,, ﾚ, 80650,,,, ﾚ, 81450,,,, ﾚ, 82250,,,, ﾚ, 83050,,,, ﾚ, 83850,,,, ﾚ, ﾚ, 84720,,,, ﾚ, 85450,,,,,,,, ﾚ,,,,, 90520,, ﾚ, 91250,,,, ﾚ, 92250,,,, ﾚ, 93250,,, ﾚ, 94250,,, ﾚ, 95250,,,, ﾚ,100250,,, ﾚ,101250,,, ﾚ,102250,,, ﾚ,103250,,, ﾚ,104250,,, ﾚ,105250,,, ﾚ,110250,,, ﾚ,111250,,, ﾚ,112250,,, ﾚ,113250,,, ﾚ,114250,,, ﾚ,115250,,, ﾚ,120250,,, ﾚ,121250,,, ﾚ,122250,,, ﾚ,123250,,, ﾚ,124250,,, ﾚ,125250,,, ﾚ,130250,,, ﾚ,131250,,, ﾚ,132250,,, ﾚ,133250,,, ﾚ,134250,,, ﾚ,135250,,, ﾚ,140250,,, ﾚ,141250,,, ﾚ,142250,,, ﾚ,143250,,, ﾚ,144250,,, ﾚ,145250,,, ﾚ,150250,,, ﾚ,151250,,, ﾚ,152250,,, ﾚ,153250,,, ﾚ,154250,,, ﾚ,155250,,, ﾚ,160250,,, ﾚ,161250,,, ﾚ,162250,,, ﾚ,163250,,, ﾚ,164250,,, ﾚ,165250,,, ﾚ,170250,,, ﾚ,171250, ﾚ,,, ﾚ,172250,,, ﾚ,173250, ﾚ,,, ﾚ,174250,,,, ﾚ,175220, ﾚ,,, ﾚ,180250,,, ﾚ,181050,,, ﾚ,181850,,, ﾚ,182650,,, ﾚ,183450,,, ﾚ,184250,,, ﾚ,185050,,, ﾚ,185850,,, ﾚ,190650,,, ﾚ,191450,,, ﾚ,192250,,, ﾚ,193050,,, ﾚ,193850,,, ﾚ,194650,,, ﾚ,195450,,, ﾚ,200250,,, ﾚ,201050,,, ﾚ,201850,,, ﾚ,202650,,, ﾚ,203450,,,,204250,,, ﾚ,205050,,,,205850,,, ﾚ,210850,,, ﾚ,211850,,,,,, ﾚ,212850,,, ﾚ,213850,,, ﾚ,214850,,, ﾚ,215850,,, ﾚ,220850,,, ﾚ,221850,,,, ﾚ,222850,,, ﾚ,223850,,,,224850,,, ﾚ,230350,,,231345,,,, ﾚ,232850,,, ﾚ,234350,,,,235850,,, ﾚ, 01350,,,, ﾚ, 03350,,, ﾚ, 05350,,,
汐浦大橋,着, 45135,, 51135,,, 53135,,,,,, 54435,, 55835,,, 60045, 60835,,, 61045, ﾚ, 61835,,, 62045, 62835,,, 63045, 63635,,, 64045, ﾚ, 64635,,,, 65155, 65635,,,, 65955, 70435,,,, 70755, 71235,,,, 71555, 72035,,,, 72355, 72835,,,, 73155, 73635,,,, 73955, 74435,,,, 74755, 75235,,,, 75555, 80035,,,, 80355, 80835,,,, 81155, 81635,,,, 81955, 82435,,,, 82755, 83235,,,, ﾚ, 84035,,,, ﾚ, ﾚ, 84905,,,, ﾚ, 85635,,,,,,,, ﾚ,,,,, 90705,, ﾚ, 91435,,,, ﾚ, 92435,,,, ﾚ, 93435,,, ﾚ, 94435,,, ﾚ, 95435,,,, ﾚ,100435,,, ﾚ,101435,,, ﾚ,102435,,, ﾚ,103435,,, ﾚ,104435,,, ﾚ,105435,,, ﾚ,110435,,, ﾚ,111435,,, ﾚ,112435,,, ﾚ,113435,,, ﾚ,114435,,, ﾚ,115435,,, ﾚ,120435,,, ﾚ,121435,,, ﾚ,122435,,, ﾚ,123435,,, ﾚ,124435,,, ﾚ,125435,,, ﾚ,130435,,, ﾚ,131435,,, ﾚ,132435,,, ﾚ,133435,,, ﾚ,134435,,, ﾚ,135435,,, ﾚ,140435,,, ﾚ,141435,,, ﾚ,142435,,, ﾚ,143435,,, ﾚ,144435,,, ﾚ,145435,,, ﾚ,150435,,, ﾚ,151435,,, ﾚ,152435,,, ﾚ,153435,,, ﾚ,154435,,, ﾚ,155435,,, ﾚ,160435,,, ﾚ,161435,,, ﾚ,162435,,, ﾚ,163435,,, ﾚ,164435,,, ﾚ,165435,,, ﾚ,170435,,, ﾚ,171435, ﾚ,,, ﾚ,172435,,, ﾚ,173435, ﾚ,,, ﾚ,174435,,,, ﾚ,175405, ﾚ,,, ﾚ,180435,,, ﾚ,181235,,, ﾚ,182035,,, ﾚ,182835,,, ﾚ,183635,,, ﾚ,184435,,, ﾚ,185235,,, ﾚ,190035,,, ﾚ,190835,,, ﾚ,191635,,, ﾚ,192435,,, ﾚ,193235,,, ﾚ,194035,,, ﾚ,194835,,, ﾚ,195635,,, ﾚ,200435,,, ﾚ,201235,,, ﾚ,202035,,, ﾚ,202835,,, ﾚ,203635,,,,204435,,, ﾚ,205235,,,,210035,,, ﾚ,211035,,, ﾚ,212035,,,,,, ﾚ,213035,,, ﾚ,214035,,, ﾚ,215035,,, ﾚ,220035,,, ﾚ,221035,,, ﾚ,222035,,,, ﾚ,223035,,, ﾚ,224035,,,,225035,,, ﾚ,230535,,,231530,,,, ﾚ,233035,,, ﾚ,234535,,,, 00035,,, ﾚ, 01535,,,, 03805, 03535,,, ﾚ, 05535,,,
汐浦大橋,番線,2,,2,,,2,,,,,,2,,2,,,2,2,,,2,2,2,,,2,2,,,2,2,,,2,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,,,,2,2,2,,,,2,2,,,,,,,,2,,,,,2,,2,2,,,,2,2,,,,2,2,,,2,2,,,2,2,,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,2,,,2,2,,,2,2,2,,,2,2,,,,2,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,,2,,,2,2,,,,2,,,2,2,,,2,2,,,,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,,2,2,,,2,2,,,,2,,,2,2,,,2,,,,2,2,,,2,2,,,,2,,,2,2,,,,2,2,,,2,2,,,
汐浦大橋,発, 45205,, 51205,,, 53205,,,,,, 54505,, 55905,,, 60115, 60905,,, 61115, ﾚ, 61905,,, 62115, 62905,,, 63115, 63705,,, 64115, ﾚ, 64705,,,, 65225, 65705,,,, 70025, 70505,,,, 70825, 71305,,,, 71625, 72105,,,, 72425, 72905,,,, 73225, 73705,,,, 74025, 74505,,,, 74825, 75305,,,, 75625, 80105,,,, 80425, 80905,,,, 81225, 81705,,,, 82025, 82505,,,, 82825, 83305,,,, ﾚ, 84105,,,, ﾚ, ﾚ, 84935,,,, ﾚ, 85705,,,,,,,, ﾚ,,,,, 90735,, ﾚ, 91505,,,, ﾚ, 92505,,,, ﾚ, 93505,,, ﾚ, 94505,,, ﾚ, 95505,,,, ﾚ,100505,,, ﾚ,101505,,, ﾚ,102505,,, ﾚ,103505,,, ﾚ,104505,,, ﾚ,105505,,, ﾚ,110505,,, ﾚ,111505,,, ﾚ,112505,,, ﾚ,113505,,, ﾚ,114505,,, ﾚ,115505,,, ﾚ,120505,,, ﾚ,121505,,, ﾚ,122505,,, ﾚ,123505,,, ﾚ,124505,,, ﾚ,125505,,, ﾚ,130505,,, ﾚ,131505,,, ﾚ,132505,,, ﾚ,133505,,, ﾚ,134505,,, ﾚ,135505,,, ﾚ,140505,,, ﾚ,141505,,, ﾚ,142505,,, ﾚ,143505,,, ﾚ,144505,,, ﾚ,145505,,, ﾚ,150505,,, ﾚ,151505,,, ﾚ,152505,,, ﾚ,153505,,, ﾚ,154505,,, ﾚ,155505,,, ﾚ,160505,,, ﾚ,161505,,, ﾚ,162505,,, ﾚ,163505,,, ﾚ,164505,,, ﾚ,165505,,, ﾚ,170505,,, ﾚ,171505, ﾚ,,, ﾚ,172505,,, ﾚ,173505, ﾚ,,, ﾚ,174505,,,, ﾚ,175435, ﾚ,,, ﾚ,180505,,, ﾚ,181305,,, ﾚ,182105,,, ﾚ,182905,,, ﾚ,183705,,, ﾚ,184505,,, ﾚ,185305,,, ﾚ,190105,,, ﾚ,190905,,, ﾚ,191705,,, ﾚ,192505,,, ﾚ,193305,,, ﾚ,194105,,, ﾚ,194905,,, ﾚ,195705,,, ﾚ,200505,,, ﾚ,201305,,, ﾚ,202105,,, ﾚ,202905,,, ﾚ,203705,,,,204505,,, ﾚ,205305,,,,210105,,, ﾚ,211105,,, ﾚ,212105,,,,,, ﾚ,213105,,, ﾚ,214105,,, ﾚ,215105,,, ﾚ,220105,,, ﾚ,221105,,, ﾚ,222105,,,, ﾚ,223105,,, ﾚ,224105,,,,225105,,, ﾚ,230605,,,231600,,,, ﾚ,233105,,, ﾚ,234605,,,, 00105,,, ﾚ, 01605,,,,, 03605,,, ﾚ, 05605,,,
汐浪公園,着, 45410,, 51410,,, 53410,,,,,, 54710,, 60110,,, 60320, 61110,,, 61320, 61535, 62110,,, 62320, 63110,,, 63320, 63910,,, 64320, 64450, 64910,,,, 65430, 65910,,,, 70230, 70710,,,, 71030, 71510,,,, 71830, 72310,,,, 72630, 73110,,,, 73430, 73910,,,, 74230, 74710,,,, 75030, 75510,,,, 75830, 80310,,,, 80630, 81110,,,, 81430, 81910,,,, 82230, 82710,,,, 83030, 83510,,,, 83725, 84310,,,, 84540, 84335, 85140,,,, 85240, 85910,,,,,,,, 90500,,,,, 90940,, 91205, 91710,,,, 92205, 92710,,,, 93205, 93710,,, 94205, 94710,,, 95205, 95710,,,,100205,100710,,,101205,101710,,,102205,102710,,,103205,103710,,,104205,104710,,,105205,105710,,,110205,110710,,,111205,111710,,,112205,112710,,,113205,113710,,,114205,114710,,,115205,115710,,,120205,120710,,,121205,121710,,,122205,122710,,,123205,123710,,,124205,124710,,,125205,125710,,,130205,130710,,,131205,131710,,,132205,132710,,,133205,133710,,,134205,134710,,,135205,135710,,,140205,140710,,,141205,141710,,,142205,142710,,,143205,143710,,,144205,144710,,,145205,145710,,,150205,150710,,,151205,151710,,,152205,152710,,,153205,153710,,,154205,154710,,,155205,155710,,,160205,160710,,,161205,161710,,,162205,162710,,,163205,163710,,,164205,164710,,,165205,165710,,,170205,170710,,,171205,171710,171950,,,172205,172710,,,173205,173710,173950,,,174205,174710,,,,175205,175640,175850,,,180205,180710,,,181005,181510,,,181805,182310,,,182605,183110,,,183405,183910,,,184205,184710,,,185005,185510,,,185805,190310,,,190605,191110,,,191405,191910,,,192205,192710,,,193005,193510,,,193805,194310,,,194605,195110,,,195405,195910,,,200205,200710,,,201005,201510,,,201805,202310,,,202605,203110,,,203405,203910,,,,204710,,,204815,205510,,,,210310,,,210615,211310,,,211805,212310,,,,,,212805,213310,,,213805,214310,,,214805,215310,,,215805,220310,,,220805,221310,,,221805,222310,,,,222805,223310,,,223805,224310,,,,225310,,,225805,230810,,,231805,,,,232800,233310,,,234300,234810,,,, 00310,,, 01300, 01810,,,,, 03810,,, 05300, 05810,,,
汐浪公園,番線,3,,3,,,3,,,,,4,3,,3,,,3,3,,,3,4,3,,,3,3,,,3,3,,,3,4,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,4,4,,,,3,3,,,,,,,,3,,,,,3,,3,3,,,,3,3,,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,4,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,4,,,3,3,,,3,3,4,,,3,3,,,,3,3,4,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,4,,,3,3,,,,3,,,3,3,,,3,3,,,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,3,,,3,3,,,3,,,,3,3,,,3,3,,,,3,,,3,3,,,,,3,,,3,4,,,
汐浪公園,発, 45440,, 51440,,, 53440,,,,, 54500, 54740,, 60140,,, 60350, 61140,,, 61350, 62000, 62140,,, 62350, 63140,,, 63350, 63940,,, 64350, 64815, 64940,,,, 65500, 65940,,,, 70300, 70740,,,, 71100, 71540,,,, 71900, 72340,,,, 72700, 73140,,,, 73500, 73940,,,, 74300, 74740,,,, 75100, 75540,,,, 75900, 80340,,,, 80700, 81140,,,, 81500, 81940,,,, 82300, 82740,,,, 83100, 83540,,,, 83755, 84340,,,, 84610, 84900, 85410,,,, 85310, 85940,,,,,,,, 90530,,,,, 91010,, 91235, 91740,,,, 92235, 92740,,,, 93235, 93740,,, 94235, 94740,,, 95235, 95740,,,,100235,100740,,,101235,101740,,,102235,102740,,,103235,103740,,,104235,104740,,,105235,105740,,,110235,110740,,,111235,111740,,,112235,112740,,,113235,113740,,,114235,114740,,,115235,115740,,,120235,120740,,,121235,121740,,,122235,122740,,,123235,123740,,,124235,124740,,,125235,125740,,,130235,130740,,,131235,131740,,,132235,132740,,,133235,133740,,,134235,134740,,,135235,135740,,,140235,140740,,,141235,141740,,,142235,142740,,,143235,143740,,,144235,144740,,,145235,145740,,,150235,150740,,,151235,151740,,,152235,152740,,,153235,153740,,,154235,154740,,,155235,155740,,,160235,160740,,,161235,161740,,,162235,162740,,,163235,163740,,,164235,164740,,,165235,165740,,,170235,170740,,,171235,171740,172335,,,172235,172740,,,173235,173740,174630,,,174235,174740,,,,175235,175710,180400,,,180235,180740,,,181035,181540,,,181835,182340,,,182635,183140,,,183435,183940,,,184235,184740,,,185035,185540,,,185835,190340,,,190635,191140,,,191435,191940,,,192235,192740,,,193035,193540,,,193835,194340,,,194635,195140,,,195435,195940,,,200235,200740,,,201035,201540,,,201835,202340,,,202635,203140,,,203435,203940,,,,204945,,,204845,205540,,,,210340,,,210645,211340,,,211835,212340,,,,,,212835,213340,,,213835,214340,,,214835,215340,,,215835,220340,,,220835,221340,,,221835,222340,,,,222835,223340,,,223835,224340,,,,225340,,,225935,230840,,,231835,,,,232830,233340,,,234330,234840,,,, 00340,,, 01330, 01840,,,,, 03840,,, 05330,,,,
古中大通り,発, 45650,, 51650,,, 53650,,,,, ﾚ, 54950,, 60350,,, 60550, 61350,,, 61550, ﾚ, 62350,,, 62550, 63350,,, 63550, 64150,,, 64550, ﾚ, 65150,,,, 65700, 70150,,,, 70500, 70950,,,, 71300, 71750,,,, 72100, 72550,,,, 72900, 73350,,,, 73700, 74150,,,, 74500, 74950,,,, 75300, 75750,,,, 80100, 80550,,,, 80900, 81350,,,, 81700, 82150,,,, 82500, 82950,,,, 83300, 83750,,,, ﾚ, 84550,,,, ﾚ, ﾚ, 85620,,,, ﾚ, 90150,,,,,,,, ﾚ,,,,, 91220,, ﾚ, 91950,,,, ﾚ, 92950,,,, ﾚ, 93950,,, ﾚ, 94950,,, ﾚ, 95950,,,, ﾚ,100950,,, ﾚ,101950,,, ﾚ,102950,,, ﾚ,103950,,, ﾚ,104950,,, ﾚ,105950,,, ﾚ,110950,,, ﾚ,111950,,, ﾚ,112950,,, ﾚ,113950,,, ﾚ,114950,,, ﾚ,115950,,, ﾚ,120950,,, ﾚ,121950,,, ﾚ,122950,,, ﾚ,123950,,, ﾚ,124950,,, ﾚ,125950,,, ﾚ,130950,,, ﾚ,131950,,, ﾚ,132950,,, ﾚ,133950,,, ﾚ,134950,,, ﾚ,135950,,, ﾚ,140950,,, ﾚ,141950,,, ﾚ,142950,,, ﾚ,143950,,, ﾚ,144950,,, ﾚ,145950,,, ﾚ,150950,,, ﾚ,151950,,, ﾚ,152950,,, ﾚ,153950,,, ﾚ,154950,,, ﾚ,155950,,, ﾚ,160950,,, ﾚ,161950,,, ﾚ,162950,,, ﾚ,163950,,, ﾚ,164950,,, ﾚ,165950,,, ﾚ,170950,,, ﾚ,171950, ﾚ,,, ﾚ,172950,,, ﾚ,173950, ﾚ,,, ﾚ,174950,,,, ﾚ,175920, ﾚ,,, ﾚ,180950,,, ﾚ,181750,,, ﾚ,182550,,, ﾚ,183350,,, ﾚ,184150,,, ﾚ,184950,,, ﾚ,185750,,, ﾚ,190550,,, ﾚ,191350,,, ﾚ,192150,,, ﾚ,192950,,, ﾚ,193750,,, ﾚ,194550,,, ﾚ,195350,,, ﾚ,200150,,, ﾚ,200950,,, ﾚ,201750,,, ﾚ,202550,,, ﾚ,203350,,, ﾚ,204150,,,,205155,,, ﾚ,205750,,,,210550,,, ﾚ,211550,,, ﾚ,212550,,,,,, ﾚ,213550,,, ﾚ,214550,,, ﾚ,215550,,, ﾚ,220550,,, ﾚ,221550,,, ﾚ,222550,,,, ﾚ,223550,,, ﾚ,224550,,,,225550,,, ﾚ,231050,,,232045,,,, ﾚ,233550,,, ﾚ,235050,,,, 00550,,, ﾚ, 02050,,,,, 04050,,, ﾚ,,,,
汐浦・中華街,着, 45830,, 51830,,, 53830,,,,, 54735, 55130,, 60530,,, 60730, 61530,,, 61730, 62245, 62530,,, 62730, 63530,,, 63730, 64330,,, 64730, 65100, 65330,,,, 65840, 70330,,,, 70640, 71130,,,, 71440, 71930,,,, 72240, 72730,,,, 73040, 73530,,,, 73840, 74330,,,, 74640, 75130,,,, 75440, 75930,,,, 80240, 80730,,,, 81040, 81530,,,, 81840, 82330,,,, 82640, 83130,,,, 83440, 83930,,,, 84030, 84730,,,, 84845, 85145, 85800,,,, 85545, 90330,,,,,,,, 90805,,,,, 91400,, 91510, 92130,,,, 92510, 93130,,,, 93510, 94130,,, 94510, 95130,,, 95510,100130,,,,100510,101130,,,101510,102130,,,102510,103130,,,103510,104130,,,104510,105130,,,105510,110130,,,110510,111130,,,111510,112130,,,112510,113130,,,113510,114130,,,114510,115130,,,115510,120130,,,120510,121130,,,121510,122130,,,122510,123130,,,123510,124130,,,124510,125130,,,125510,130130,,,130510,131130,,,131510,132130,,,132510,133130,,,133510,134130,,,134510,135130,,,135510,140130,,,140510,141130,,,141510,142130,,,142510,143130,,,143510,144130,,,144510,145130,,,145510,150130,,,150510,151130,,,151510,152130,,,152510,153130,,,153510,154130,,,154510,155130,,,155510,160130,,,160510,161130,,,161510,162130,,,162510,163130,,,163510,164130,,,164510,165130,,,165510,170130,,,170510,171130,,,171510,172130,172620,,,172510,173130,,,173510,174130,174915,,,174510,175130,,,,175510,180100,180645,,,180510,181130,,,181310,181930,,,182110,182730,,,182910,183530,,,183710,184330,,,184510,185130,,,185310,185930,,,190110,190730,,,190910,191530,,,191710,192330,,,192510,193130,,,193310,193930,,,194110,194730,,,194910,195530,,,195710,200330,,,200510,201130,,,201310,201930,,,202110,202730,,,202910,203530,,,203710,204330,,,,205335,,,205120,205930,,,,210730,,,210920,211730,,,212110,212730,,,,,,213110,213730,,,214110,214730,,,215110,215730,,,220110,220730,,,221110,221730,,,222110,222730,,,,223110,223730,,,224110,224730,,,,225730,,,230210,231230,,,232225,,,,233105,233730,,,234605,235230,,,, 00730,,, 01605, 02230,,,,, 04230,,, 05605,,,,
汐浦・中華街,番線,1,,1,,,1,,,,,2,1,,1,,,2,1,,,2,2,1,,,2,1,,,2,1,,,2,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,1,2,2,,,,1,2,,,,,,,,1,,,,,2,,1,2,,,,1,2,,,,1,2,,,1,2,,,1,2,,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,2,,,1,1,,,2,2,2,,,1,1,,,,2,1,1,,,2,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,1,2,,,,1,,,2,2,,,,1,,,2,1,,,2,1,,,,,,2,1,,,2,1,,,2,1,,,2,1,,,2,1,,,2,1,,,,2,1,,,2,1,,,,2,,,1,2,,,1,,,,2,1,,,2,1,,,,2,,,2,1,,,,,1,,,1,,,,
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,菊中-市場 低速運転,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
